make,model,trim,cylinder_layout,number_of_cylinders,engine_type,mixed_fuel_consumption_per_100km,city_fuel_per_100km,highway_fuel_per_100km
AC,Aceca,3.5 MT,V-type,8,Gasoline,13.4,20,9
AC,Aceca,4.6 MT,V-type,8,Gasoline,12.2,15.1,10.5
AC,Cobra,4.9 MT,V-type,8,Gasoline,14.4,17,10
Acura,Integra,1.8 AT,Inline,4,Gasoline,8.5,9.4,7.6
Acura,Integra,1.8 MT,Inline,4,Gasoline,8.5,9.4,7.6
Acura,MDX,3.5 AT 4WD,V-type,6,Gasoline,13.2,13.8,10.2
Acura,MDX,3.7 AT 4WD,V-type,6,Gasoline,12.1,13.8,10.7
Acura,NSX,3.2 MT,V-type,6,Gasoline,12,16,9
Acura,RDX,2.3 AT,Inline,4,Gasoline,11.8,12.2,9
Acura,RDX,3.5 AT AWD,V-type,6,Gasoline,10,14,7.6
Acura,RSX,2.0 MT,Inline,4,Gasoline,8.7,9.8,7.6
Acura,TL,3.5 AT,V-type,6,Gasoline,11.2,13.1,9
Acura,TL,3.7 AT,V-type,6,Gasoline,11.8,13.8,9.4
Acura,TLX,2.4 DCT P-AWS,Inline,4,Gasoline,8.4,9.8,6.72
Acura,TLX,3.5 AT P-AWS,V-type,6,Gasoline,9.4,11.2,6.98
Acura,TLX,3.5 AT SH-AWD,V-type,6,Gasoline,9.4,11.2,7.58
Acura,TSX,3.5 AT,Inline,6,Gasoline,11.2,13.1,8.7
Acura,TSX,3.5 MT,Inline,6,Gasoline,11.2,13.1,8.7
Acura,ZDX,3.7 AT,V-type,6,Gasoline,13.1,14.7,10.7
Alfa Romeo,145,1.4 MT,Inline,4,Gasoline,7.9,10.7,6.3
Alfa Romeo,145,1.6 MT,Opposed,4,Gasoline,8.1,10.7,6.3
Alfa Romeo,145,1.7 MT,Opposed,4,Gasoline,8.5,11.6,6.7
Alfa Romeo,145,1.9 TD MT,Inline,4,Diesel,6.2,8.8,5
Alfa Romeo,145,2.0 MT,Inline,4,Gasoline,8.4,11.1,6.4
Alfa Romeo,146,1.4 MT,Inline,4,Gasoline,8.5,10.7,6.3
Alfa Romeo,146,1.6 MT,Inline,4,Gasoline,8.2,11.3,6.6
Alfa Romeo,146,1.9 TD MT,Inline,4,Diesel,6.5,7.6,4.7
Alfa Romeo,146,2.0 MT,Inline,4,Gasoline,8.9,12.4,6.6
Alfa Romeo,147,1.6 MT,Inline,4,Gasoline,8.1,11.1,6.3
Alfa Romeo,147,1.9 JTD MT,Inline,4,Diesel,5.8,7.8,4.7
Alfa Romeo,147,2.0 MT,Inline,4,Gasoline,8.9,12.1,7
Alfa Romeo,147,2.0 SS,Inline,4,Gasoline,8.9,12.1,7
Alfa Romeo,147,3.2 MT,V-type,6,Gasoline,12.1,18.1,8.6
Alfa Romeo,156,1.6 MT,Inline,4,Gasoline,8,11,6
Alfa Romeo,156,1.8 MT,Inline,4,Gasoline,8.6,12.1,6.4
Alfa Romeo,156,1.9 JTD MT,Inline,4,Diesel,7.1,9.3,5.8
Alfa Romeo,156,2.0 JTS MT,Inline,4,Gasoline,8.9,12.2,6.6
