make,model,trim,cylinder_layout,number_of_cylinders,engine_type,mixed_fuel_consumption_per_100km,city_fuel_per_100km,highway_fuel_per_100km
0,AC,Aceca,3.5 MT,V-type,8,Gasoline,13.4,20,9
1,AC,Aceca,4.6 MT,V-type,8,Gasoline,12.2,15.1,10.5
2,AC,Cobra,4.9 MT,V-type,8,Gasoline,14.4,17,10
3,AC,Cobra,4.9 MT,V-type,8,Gasoline,15.7,18,12
4,Acura,Integra,1.8 AT,Inline,4,Gasoline,8.5,9.4,7.6
5,Acura,Integra,1.8 MT,Inline,4,Gasoline,8.5,9.4,7.6
6,Acura,Integra,1.8 MT,Inline,4,Gasoline,8.4,9.4,7.6
7,Acura,Integra,1.8 MT,Inline,4,Gasoline,8.8,9.7,7.8
8,Acura,Integra,1.8 MT,Inline,4,Gasoline,8.6,9.4,7.6
9,Acura,Integra,1.8 AT,Inline,4,Gasoline,8.4,9.4,7.6
10,Acura,Integra,1.8 MT,Inline,4,Gasoline,8.4,9.4,7.6
11,Acura,Integra,1.8 MT,Inline,4,Gasoline,8.6,9.4,7.6
12,Acura,MDX,3.5 AT 4WD,V-type,6,Gasoline,13.2,13.8,10.2
13,Acura,MDX,3.7 AT 4WD,V-type,6,Gasoline,12.1,13.8,10.7
14,Acura,MDX,3.5 AT 4WD,V-type,6,Gasoline,10.4,15.1,7.7
15,Acura,NSX,3.2 MT,V-type,6,Gasoline,12,16,9
16,Acura,RDX,2.3 AT,Inline,4,Gasoline,11.8,12.2,9
17,Acura,RDX,3.5 AT AWD,V-type,6,Gasoline,10,14,7.6
18,Acura,RSX,2.0 MT,Inline,4,Gasoline,8.7,9.8,7.6
19,Acura,TL,3.5 AT,V-type,6,Gasoline,11.2,13.1,9
20,Acura,TL,3.7 AT,V-type,6,Gasoline,11.8,13.8,9.4
21,Acura,TLX,2.4 DCT P-AWS,Inline,4,Gasoline,8.4,9.8,6.72
22,Acura,TLX,3.5 AT P-AWS,V-type,6,Gasoline,9.4,11.2,6.98
23,Acura,TLX,3.5 AT SH-AWD,V-type,6,Gasoline,9.4,11.2,7.58
24,Acura,TSX,3.5 AT,Inline,6,Gasoline,11.2,13.1,8.7
25,Acura,TSX,3.5 MT,Inline,6,Gasoline,11.2,13.1,8.7
26,Acura,ZDX,3.7 AT,V-type,6,Gasoline,13.1,14.7,10.7
27,Alfa Romeo,145,1.4 MT,Inline,4,Gasoline,7.9,10.7,6.3
28,Alfa Romeo,145,1.4 MT,Inline,4,Gasoline,8.2,10.1,6.3
29,Alfa Romeo,145,1.6 MT,Opposed,4,Gasoline,8.1,10.7,6.3
30,Alfa Romeo,145,1.6 MT,Inline,4,Gasoline,8.1,11.1,6.5
31,Alfa Romeo,145,1.7 MT,Opposed,4,Gasoline,8.5,11.6,6.7
32,Alfa Romeo,145,1.7 MT,Inline,4,Gasoline,8.4,11.5,6.6
33,Alfa Romeo,145,1.9 TD MT,Inline,4,Diesel,6.2,8.8,5
34,Alfa Romeo,145,2.0 MT,Inline,4,Gasoline,8.4,11.1,6.4
35,Alfa Romeo,145,2.0 MT,Inline,4,Gasoline,8.4,12.4,6.6
36,Alfa Romeo,146,1.4 MT,Inline,4,Gasoline,8.5,10.7,6.3
37,Alfa Romeo,146,1.6 MT,Inline,4,Gasoline,8.2,11.3,6.6
38,Alfa Romeo,146,1.9 TD MT,Inline,4,Diesel,6.5,7.6,4.7
39,Alfa Romeo,146,1.9 TD MT,Inline,4,Diesel,6.2,8.8,5
40,Alfa Romeo,146,2.0 MT,Inline,4,Gasoline,8.9,12.4,6.6
41,Alfa Romeo,147,3.2 MT,V-type,6,Gasoline,12.1,18.1,8.6
42,Alfa Romeo,147,1.6 MT,Inline,4,Gasoline,8.1,11.1,6.3
43,Alfa Romeo,147,1.6 MT,Inline,4,Gasoline,8.2,11.2,6.4
44,Alfa Romeo,147,1.9 JTD MT,Inline,4,Diesel,5.8,7.8,4.7
45,Alfa Romeo,147,1.9 JTD MT,Inline,4,Diesel,5.8,7.8,4.7
46,Alfa Romeo,147,1.9 JTD MT,Inline,4,Diesel,5.9,8,4.7
47,Alfa Romeo,147,2.0 MT,Inline,4,Gasoline,8.9,12.1,7
48,Alfa Romeo,147,1.6 MT,Inline,4,Gasoline,8.3,11.2,6.4
49,Alfa Romeo,147,2.0 MT,Inline,4,Gasoline,8.9,12.1,7
50,Alfa Romeo,147,2.0 SS,Inline,4,Gasoline,8.9,12.1,7
51,Alfa Romeo,147,1.6 MT,Inline,4,Gasoline,8.1,11.1,6.3
52,Alfa Romeo,147,1.6 MT,Inline,4,Gasoline,8.3,11.2,6.4
53,Alfa Romeo,147,2.0 MT,Inline,4,Gasoline,8.9,12.1,7
54,Alfa Romeo,147,2.0 SS,Inline,4,Gasoline,8.9,12.1,7
55,Alfa Romeo,156,3.2 MT,V-type,6,Gasoline,12.1,18.4,8.8
56,Alfa Romeo,156,1.9 JTD MT,Inline,4,Diesel,7.1,9.3,5.8
57,Alfa Romeo,156,3.2 MT,V-type,6,Gasoline,12.1,18.1,8.6
58,Alfa Romeo,156,1.6 MT,Inline,4,Gasoline,8,11,6
59,Alfa Romeo,156,1.8 MT,Inline,4,Gasoline,8.6,12.1,6.4
60,Alfa Romeo,156,1.9 JTD MT,Inline,4,Diesel,6,7.9,4.9
61,Alfa Romeo,156,1.9 JTD MT,Inline,4,Diesel,6.1,8.2,4.8
62,Alfa Romeo,156,2.0 JTS MT,Inline,4,Gasoline,8.9,12.2,6.6
63,Alfa Romeo,156,2.4 JTD MT,Inline,5,Diesel,6.6,8.9,5.4
64,Alfa Romeo,156,2.4 JTD MT,Inline,5,Diesel,6.7,8.8,5.3
65,Alfa Romeo,156,2.5 AT,V-type,6,Gasoline,11.8,17.5,8.5
66,Alfa Romeo,156,2.5 MT,V-type,6,Gasoline,11.8,17.5,8.5
67,Alfa Romeo,156,1.6 MT,Inline,4,Gasoline,8.2,11.5,6.5
68,Alfa Romeo,159,1.75 TBi MT,Inline,4,Gasoline,8.1,11.8,6
69,Alfa Romeo,159,1.8 MPI MT,Inline,4,Gasoline,7.6,10.3,6
70,Alfa Romeo,159,1.9 JTDM ECO MT,Inline,4,Diesel,5.2,6.6,4.4
71,Alfa Romeo,159,1.9 JTDM ECO MT,Inline,4,Diesel,5.2,6.6,4.4
72,Alfa Romeo,159,1.9 JTDM MT,Inline,4,Diesel,5.9,7.8,4.8
73,Alfa Romeo,159,1.9 JTDM MT,Inline,4,Diesel,5.7,7.5,4.6
74,Alfa Romeo,159,1.9 JTDM MT,Inline,4,Diesel,5.7,7.5,4.6
75,Alfa Romeo,159,1.9 JTDM Q-Tronic,Inline,4,Diesel,6.8,9.5,5.2
76,Alfa Romeo,159,1.9 JTS MT,Inline,4,Gasoline,8.7,12.2,6.6
77,Alfa Romeo,159,2.0 JTDM ECO MT,Inline,4,Diesel,5.1,6.6,4.3
78,Alfa Romeo,159,2.0 JTDM ECO MT,Inline,4,Diesel,5.1,6.6,4.3
79,Alfa Romeo,159,2.0 JTDM MT,Inline,4,Diesel,5.4,7.1,4.4
80,Alfa Romeo,159,2.2 JTS MT,Inline,4,Gasoline,9.4,13,7.3
81,Alfa Romeo,159,2.2 JTS Selespeed,Inline,4,Gasoline,9.2,12.8,7.1
82,Alfa Romeo,159,2.4 JTDM MT,Inline,5,Diesel,6.8,9.2,5.4
83,Alfa Romeo,159,2.4 JTDM MT,Inline,5,Diesel,6.8,9.2,5.4
84,Alfa Romeo,159,2.4 JTDM Q-Tronic,Inline,5,Diesel,7.9,11.4,5.8
85,Alfa Romeo,159,2.4 JTDM Q4 MT,Inline,5,Diesel,7.2,9.7,5.8
86,Alfa Romeo,159,3.2 JTS MT,V-type,6,Gasoline,11,16.4,7.9
87,Alfa Romeo,159,3.2 JTS Q-tronic Q4,V-type,6,Gasoline,12.2,18.4,8.6
88,Alfa Romeo,159,3.2 JTS Q4 MT,V-type,6,Gasoline,11.4,16.7,8.3
89,Alfa Romeo,159,1.75 TBi MT,Inline,4,Gasoline,8.3,12,6.2
90,Alfa Romeo,159,1.8 MPI MT,Inline,4,Gasoline,7.8,10.7,6.1
91,Alfa Romeo,159,1.9 JTDM ECO MT,Inline,4,Diesel,5.3,6.6,4.5
92,Alfa Romeo,159,1.9 JTDM ECO MT,Inline,4,Diesel,5.3,6.7,4.5
93,Alfa Romeo,159,1.9 JTDM MT,Inline,4,Diesel,6,7.9,4.9
94,Alfa Romeo,159,1.9 JTDM MT,Inline,4,Diesel,5.8,7.6,4.7
95,Alfa Romeo,159,1.9 JTDM MT,Inline,4,Diesel,6,8.3,4.8
96,Alfa Romeo,159,1.9 JTDM Q-Tronic,Inline,4,Diesel,6.9,9.6,5.3
97,Alfa Romeo,159,1.9 JTS MT,Inline,4,Gasoline,8.8,12.4,6.7
98,Alfa Romeo,159,2.0 JTDM ECO MT,Inline,4,Diesel,5.2,6.7,4.4
99,Alfa Romeo,159,2.0 JTDM ECO MT,Inline,4,Diesel,5.2,6.7,4.4
100,Alfa Romeo,159,2.0 JTDM MT,Inline,4,Diesel,5.5,7.2,4.5
101,Alfa Romeo,159,2.2 JTS MT,Inline,4,Gasoline,9.5,13.2,7.3
102,Alfa Romeo,159,2.2 JTS Selespeed,Inline,4,Gasoline,9.3,13,7.2
103,Alfa Romeo,159,2.4 JTDM MT,Inline,5,Diesel,7,9.4,5.6
